District,City,Year,Percentage
강원도,강릉,2020,0.47
강원도,강릉,2019,0.94
강원도,강릉,2018,0.94
강원도,강릉,2017,0.94
강원도,강릉,2016,2.33
강원도,강릉,2015,2.79
강원도,고성,2020,3.7
강원도,고성,2019,0.0
강원도,고성,2018,0.0
강원도,고성,2017,0.0
강원도,고성,2016,0.0
강원도,고성,2015,3.32
강원도,동해,2020,2.21
강원도,동해,2019,2.2
강원도,동해,2018,0.0
강원도,동해,2017,2.15
강원도,동해,2016,2.14
강원도,동해,2015,1.06
강원도,삼척,2020,1.51
강원도,삼척,2019,1.48
강원도,삼척,2018,0.0
강원도,삼척,2017,0.0
강원도,삼척,2016,1.42
강원도,삼척,2015,1.4
강원도,속초,2020,1.22
강원도,속초,2019,1.22
강원도,속초,2018,0.0
강원도,속초,2017,2.44
강원도,속초,2016,0.0
강원도,속초,2015,0.0
강원도,양구,2020,0.0
강원도,양구,2019,4.33
강원도,양구,2018,4.23
강원도,양구,2017,0.0
강원도,양구,2016,4.16
강원도,양구,2015,0.0
강원도,양양,2020,0.0
강원도,양양,2019,7.26
강원도,양양,2018,3.67
강원도,양양,2017,0.0
강원도,양양,2016,0.0
강원도,양양,2015,3.64
강원도,영월,2020,0.0
강원도,영월,2019,0.0
강원도,영월,2018,0.0
강원도,영월,2017,0.0
강원도,영월,2016,0.0
강원도,영월,2015,2.49
강원도,원주,2020,0.57
강원도,원주,2019,1.15
강원도,원주,2018,1.46
강원도,원주,2017,1.77
강원도,원주,2016,1.19
강원도,원주,2015,0.3
강원도,인제,2020,0.0
강원도,인제,2019,0.0
강원도,인제,2018,0.0
강원도,인제,2017,0.0
강원도,인제,2016,3.03
강원도,인제,2015,0.0
강원도,정선,2020,2.7
강원도,정선,2019,2.67
강원도,정선,2018,2.64
강원도,정선,2017,0.0
강원도,정선,2016,2.57
강원도,정선,2015,0.0
강원도,철원,2020,2.22
강원도,철원,2019,2.17
강원도,철원,2018,4.27
강원도,철원,2017,0.0
강원도,철원,2016,0.0
강원도,철원,2015,2.08
강원도,춘천,2020,1.06
강원도,춘천,2019,2.49
강원도,춘천,2018,2.49
강원도,춘천,2017,0.71
강원도,춘천,2016,1.79
강원도,춘천,2015,0.36
강원도,태백,2020,0.0
강원도,태백,2019,2.25
강원도,태백,2018,2.2
강원도,태백,2017,6.45
강원도,태백,2016,6.34
강원도,태백,2015,0.0
강원도,평창,2020,2.39
강원도,평창,2019,2.36
강원도,평창,2018,4.67
강원도,평창,2017,2.31
강원도,평창,2016,0.0
강원도,평창,2015,2.3
강원도,홍천,2020,0.0
강원도,홍천,2019,7.19
강원도,홍천,2018,0.0
강원도,홍천,2017,1.42
강원도,홍천,2016,1.42
강원도,홍천,2015,0.0
강원도,화천,2020,4.02
강원도,화천,2019,4.0
강원도,화천,2018,0.0
강원도,화천,2017,0.0
강원도,화천,2016,0.0
강원도,화천,2015,0.0
강원도,횡성,2020,2.15
강원도,횡성,2019,0.0
강원도,횡성,2018,2.15
강원도,횡성,2017,4.34
강원도,횡성,2016,2.18
강원도,횡성,2015,0.0
경기도,가평,2020,0.0
경기도,가평,2019,0.0
경기도,가평,2018,4.77
경기도,가평,2017,0.0
경기도,가평,2016,3.21
경기도,가평,2015,0.0
경기도,고양,2020,0.36
경기도,고양,2019,1.33
경기도,고양,2018,1.57
경기도,고양,2017,0.37
경기도,고양,2016,1.28
경기도,고양,2015,0.65
경기도,과천,2020,0.0
경기도,과천,2019,0.0
경기도,과천,2018,0.0
경기도,과천,2017,0.0
경기도,과천,2016,1.51
경기도,과천,2015,0.0
경기도,광명,2020,1.63
경기도,광명,2019,1.24
경기도,광명,2018,1.82
경기도,광명,2017,0.0
경기도,광명,2016,0.29
경기도,광명,2015,0.0
경기도,광주,2020,0.27
경기도,광주,2019,1.36
경기도,광주,2018,0.85
경기도,광주,2017,1.48
경기도,광주,2016,0.0
경기도,광주,2015,0.0
경기도,구리,2020,2.02
경기도,구리,2019,1.49
경기도,구리,2018,0.5
경기도,구리,2017,0.51
경기도,구리,2016,1.58
경기도,구리,2015,0.0
경기도,군포,2020,0.0
경기도,군포,2019,1.09
경기도,군포,2018,0.72
경기도,군포,2017,1.41
경기도,군포,2016,0.7
경기도,군포,2015,0.7
경기도,김포,2020,0.44
경기도,김포,2019,0.7
경기도,김포,2018,0.74
경기도,김포,2017,0.79
경기도,김포,2016,0.56
경기도,김포,2015,0.58
경기도,남양주,2020,0.35
경기도,남양주,2019,0.58
경기도,남양주,2018,1.34
경기도,남양주,2017,0.9
경기도,남양주,2016,0.46
경기도,남양주,2015,0.31
경기도,동두천,2020,1.06
경기도,동두천,2019,3.14
경기도,동두천,2018,2.07
경기도,동두천,2017,2.05
경기도,동두천,2016,2.04
경기도,동두천,2015,0.0
경기도,부천,2020,0.97
경기도,부천,2019,1.91
경기도,부천,2018,2.01
경기도,부천,2017,1.06
경기도,부천,2016,1.18
경기도,부천,2015,1.17
경기도,성남,2020,0.79
경기도,성남,2019,1.35
경기도,성남,2018,0.83
경기도,성남,2017,0.8
경기도,성남,2016,0.33
경기도,성남,2015,0.15
경기도,수원,2020,0.69
경기도,수원,2019,1.12
경기도,수원,2018,1.17
경기도,수원,2017,0.34
경기도,수원,2016,0.63
경기도,수원,2015,0.42
경기도,시흥,2020,1.03
경기도,시흥,2019,1.52
경기도,시흥,2018,1.15
경기도,시흥,2017,1.46
경기도,시흥,2016,1.0
경기도,시흥,2015,1.01
경기도,안산,2020,0.31
경기도,안산,2019,0.45
경기도,안산,2018,2.75
경기도,안산,2017,0.72
경기도,안산,2016,0.79
경기도,안산,2015,1.26
경기도,안성,2020,0.54
경기도,안성,2019,0.54
경기도,안성,2018,1.09
경기도,안성,2017,0.0
경기도,안성,2016,0.0
경기도,안성,2015,0.0
경기도,안양,2020,0.58
경기도,안양,2019,1.12
경기도,안양,2018,1.55
경기도,안양,2017,0.89
경기도,안양,2016,1.29
경기도,안양,2015,0.81
경기도,양주,2020,0.44
경기도,양주,2019,2.73
경기도,양주,2018,4.19
경기도,양주,2017,0.96
경기도,양주,2016,0.49
경기도,양주,2015,0.49
경기도,양평,2020,0.0
경기도,양평,2019,2.58
경기도,양평,2018,1.73
경기도,양평,2017,0.88
경기도,양평,2016,0.0
경기도,양평,2015,0.0
경기도,여주,2020,0.0
경기도,여주,2019,1.8
경기도,여주,2018,1.79
경기도,여주,2017,0.89
경기도,여주,2016,0.9
경기도,여주,2015,0.9
경기도,연천,2020,4.58
경기도,연천,2019,0.0
경기도,연천,2018,0.0
경기도,연천,2017,2.19
경기도,연천,2016,0.0
경기도,연천,2015,0.0
경기도,오산,2020,0.44
경기도,오산,2019,0.45
경기도,오산,2018,2.31
경기도,오산,2017,0.0
경기도,오산,2016,0.0
경기도,오산,2015,0.0
경기도,용인,2020,0.74
경기도,용인,2019,0.8
경기도,용인,2018,1.9
경기도,용인,2017,0.47
경기도,용인,2016,0.6
경기도,용인,2015,0.0
경기도,의왕,2020,0.62
경기도,의왕,2019,0.63
경기도,의왕,2018,1.29
경기도,의왕,2017,0.64
경기도,의왕,2016,0.64
경기도,의왕,2015,0.0
경기도,의정부,2020,0.88
경기도,의정부,2019,1.33
경기도,의정부,2018,0.68
경기도,의정부,2017,0.23
경기도,의정부,2016,1.15
경기도,의정부,2015,0.23
경기도,이천,2020,0.92
경기도,이천,2019,0.0
경기도,이천,2018,2.34
경기도,이천,2017,0.94
경기도,이천,2016,0.48
경기도,이천,2015,0.0
경기도,파주,2020,0.87
경기도,파주,2019,0.88
경기도,파주,2018,1.57
경기도,파주,2017,0.92
경기도,파주,2016,0.47
경기도,파주,2015,0.96
경기도,평택,2020,0.38
경기도,평택,2019,0.59
경기도,평택,2018,0.82
경기도,평택,2017,0.21
경기도,평택,2016,0.0
경기도,평택,2015,0.22
경기도,포천,2020,4.74
경기도,포천,2019,2.68
경기도,포천,2018,1.98
경기도,포천,2017,0.65
경기도,포천,2016,0.0
경기도,포천,2015,0.64
경기도,하남,2020,0.71
경기도,하남,2019,0.0
경기도,하남,2018,0.0
경기도,하남,2017,1.35
경기도,하남,2016,1.06
경기도,하남,2015,0.63
경기도,화성,2020,0.6
경기도,화성,2019,1.14
경기도,화성,2018,0.97
경기도,화성,2017,0.9
경기도,화성,2016,0.16
경기도,화성,2015,0.35
경상남도,거제,2020,0.0
경상남도,거제,2019,0.8
경상남도,거제,2018,0.79
경상남도,거제,2017,1.56
경상남도,거제,2016,0.0
경상남도,거제,2015,0.4
경상남도,거창,2020,1.62
경상남도,거창,2019,1.6
경상남도,거창,2018,3.19
경상남도,거창,2017,4.76
경상남도,거창,2016,0.0
경상남도,거창,2015,0.0
경상남도,고성,2020,1.93
경상남도,고성,2019,0.0
경상남도,고성,2018,0.0
경상남도,고성,2017,1.84
경상남도,고성,2016,5.46
경상남도,고성,2015,1.8
경상남도,김해,2020,0.18
경상남도,김해,2019,0.56
경상남도,김해,2018,0.38
경상남도,김해,2017,0.94
경상남도,김해,2016,1.13
경상남도,김해,2015,0.57
경상남도,남해,2020,0.0
경상남도,남해,2019,0.0
경상남도,남해,2018,4.51
경상남도,남해,2017,2.23
경상남도,남해,2016,2.2
경상남도,남해,2015,2.16
경상남도,마산,2020,0.0
경상남도,마산,2019,0.0
경상남도,마산,2018,0.0
경상남도,마산,2017,0.0
경상남도,마산,2016,0.0
경상남도,마산,2015,0.0
경상남도,밀양,2020,0.0
경상남도,밀양,2019,0.0
경상남도,밀양,2018,2.8
경상남도,밀양,2017,1.85
경상남도,밀양,2016,0.92
경상남도,밀양,2015,0.0
경상남도,사천,2020,0.9
경상남도,사천,2019,2.66
경상남도,사천,2018,1.75
경상남도,사천,2017,0.87
경상남도,사천,2016,0.0
경상남도,사천,2015,0.86
경상남도,산청,2020,2.85
경상남도,산청,2019,2.8
경상남도,산청,2018,2.77
경상남도,산청,2017,5.52
경상남도,산청,2016,5.54
경상남도,산청,2015,0.0
경상남도,양산,2020,0.0
경상남도,양산,2019,0.57
경상남도,양산,2018,0.0
경상남도,양산,2017,1.53
경상남도,양산,2016,0.97
경상남도,양산,2015,1.01
경상남도,의령,2020,3.71
경상남도,의령,2019,3.65
경상남도,의령,2018,0.0
경상남도,의령,2017,3.57
경상남도,의령,2016,3.53
경상남도,의령,2015,3.46
경상남도,진주,2020,1.15
경상남도,진주,2019,0.87
경상남도,진주,2018,1.44
경상남도,진주,2017,2.31
경상남도,진주,2016,2.03
경상남도,진주,2015,0.88
경상남도,진해,2020,0.0
경상남도,진해,2019,0.0
경상남도,진해,2018,0.0
경상남도,진해,2017,0.0
경상남도,진해,2016,0.0
경상남도,진해,2015,0.0
경상남도,창녕,2020,0.0
경상남도,창녕,2019,0.0
경상남도,창녕,2018,1.57
경상남도,창녕,2017,1.56
경상남도,창녕,2016,1.56
경상남도,창녕,2015,0.0
경상남도,창원,2020,0.0
경상남도,창원,2020,0.37
경상남도,창원,2019,0.0
경상남도,창원,2019,1.18
경상남도,창원,2018,0.0
경상남도,창원,2018,1.6
경상남도,창원,2017,0.0
경상남도,창원,2017,0.68
경상남도,창원,2016,0.0
경상남도,창원,2016,1.69
경상남도,창원,2015,0.0
경상남도,창원,2015,1.52
경상남도,통영,2020,0.0
경상남도,통영,2019,0.0
경상남도,통영,2018,1.48
경상남도,통영,2017,1.46
경상남도,통영,2016,0.0
경상남도,통영,2015,0.0
경상남도,하동,2020,0.0
경상남도,하동,2019,2.13
경상남도,하동,2018,0.0
경상남도,하동,2017,2.03
경상남도,하동,2016,0.0
경상남도,하동,2015,0.0
경상남도,함안,2020,0.0
경상남도,함안,2019,1.51
경상남도,함안,2018,1.48
경상남도,함안,2017,4.37
경상남도,함안,2016,0.0
경상남도,함안,2015,1.45
경상남도,함양,2020,0.0
경상남도,함양,2019,0.0
경상남도,함양,2018,0.0
경상남도,함양,2017,0.0
경상남도,함양,2016,0.0
경상남도,함양,2015,0.0
경상남도,합천,2020,0.0
경상남도,합천,2019,0.0
경상남도,합천,2018,4.3
경상남도,합천,2017,0.0
경상남도,합천,2016,0.0
경상남도,합천,2015,0.0
경상북도,경산,2020,0.76
경상북도,경산,2019,0.38
경상북도,경산,2018,1.54
경상북도,경산,2017,0.39
경상북도,경산,2016,0.0
경상북도,경산,2015,0.0
경상북도,경주,2020,1.18
경상북도,경주,2019,0.0
경상북도,경주,2018,1.94
경상북도,경주,2017,1.16
경상북도,경주,2016,2.31
경상북도,경주,2015,0.38
경상북도,고령,2020,0.0
경상북도,고령,2019,0.0
경상북도,고령,2018,0.0
경상북도,고령,2017,0.0
경상북도,고령,2016,0.0
경상북도,고령,2015,0.0
경상북도,구미,2020,0.24
경상북도,구미,2019,0.48
경상북도,구미,2018,0.71
경상북도,구미,2017,0.71
경상북도,구미,2016,0.24
경상북도,구미,2015,0.24
경상북도,군위,2020,0.0
경상북도,군위,2019,0.0
경상북도,군위,2018,4.16
경상북도,군위,2017,0.0
경상북도,군위,2016,0.0
경상북도,군위,2015,0.0
경상북도,김천,2020,0.71
경상북도,김천,2019,0.71
경상북도,김천,2018,0.7
경상북도,김천,2017,0.0
경상북도,김천,2016,0.71
경상북도,김천,2015,0.0
경상북도,문경,2020,1.39
경상북도,문경,2019,0.0
경상북도,문경,2018,1.38
경상북도,문경,2017,1.35
경상북도,문경,2016,1.33
경상북도,문경,2015,1.32
경상북도,봉화,2020,0.0
경상북도,봉화,2019,0.0
경상북도,봉화,2018,0.0
경상북도,봉화,2017,0.0
경상북도,봉화,2016,0.0
경상북도,봉화,2015,2.95
경상북도,상주,2020,1.01
경상북도,상주,2019,0.0
경상북도,상주,2018,0.99
경상북도,상주,2017,0.0
경상북도,상주,2016,1.96
경상북도,상주,2015,0.0
경상북도,성주,2020,0.0
경상북도,성주,2019,0.0
경상북도,성주,2018,2.23
경상북도,성주,2017,2.21
경상북도,성주,2016,0.0
경상북도,성주,2015,0.0
경상북도,안동,2020,0.63
경상북도,안동,2019,0.0
경상북도,안동,2018,1.22
경상북도,안동,2017,0.6
경상북도,안동,2016,0.0
경상북도,안동,2015,0.59
경상북도,영덕,2020,0.0
경상북도,영덕,2019,5.3
경상북도,영덕,2018,5.22
경상북도,영덕,2017,2.58
경상북도,영덕,2016,0.0
경상북도,영덕,2015,0.0
경상북도,영양,2020,0.0
경상북도,영양,2019,0.0
경상북도,영양,2018,5.74
경상북도,영양,2017,0.0
경상북도,영양,2016,0.0
경상북도,영양,2015,0.0
경상북도,영주,2020,0.96
경상북도,영주,2019,2.83
경상북도,영주,2018,0.0
경상북도,영주,2017,0.0
경상북도,영주,2016,0.91
경상북도,영주,2015,0.91
경상북도,영천,2020,0.0
경상북도,영천,2019,0.0
경상북도,영천,2018,0.99
경상북도,영천,2017,0.0
경상북도,영천,2016,0.99
경상북도,영천,2015,0.99
경상북도,예천,2020,0.0
경상북도,예천,2019,3.69
경상북도,예천,2018,0.0
경상북도,예천,2017,0.0
