District,City,2020,2019,2018,2017,2016,2015
전국,전국,0.67,1.01,1.29,0.89,0.85,0.44
서울특별시,서울특별시,0.68,1.37,1.62,1.3,1.11,0.4
부산광역시,부산광역시,0.56,0.88,1.27,1.18,1.03,0.51
대구광역시,대구광역시,0.54,0.24,0.53,0.4,0.4,0.04
인천광역시,인천광역시,0.81,1.08,1.56,0.92,1.06,0.72
광주광역시,광주광역시,0.28,0.55,0.48,0.41,0.34,0.0
대전광역시,대전광역시,0.61,0.67,0.47,0.2,0.66,0.07
울산광역시,울산광역시,0.53,0.35,1.72,0.51,1.02,1.2
세종특별자치시,세종특별자치시,0.29,0.61,0.34,0.0,0.44,0.55
경기도,수원,0.69,1.12,1.17,0.34,0.63,0.42
경기도,성남,0.79,1.35,0.83,0.8,0.33,0.15
경기도,의정부,0.88,1.33,0.68,0.23,1.15,0.23
경기도,안양,0.58,1.12,1.55,0.89,1.29,0.81
경기도,부천,0.97,1.91,2.01,1.06,1.18,1.17
경기도,광명,1.63,1.24,1.82,0.0,0.29,0.0
경기도,평택,0.38,0.59,0.82,0.21,0.0,0.22
경기도,동두천,1.06,3.14,2.07,2.05,2.04,0.0
경기도,안산,0.31,0.45,2.75,0.72,0.79,1.26
경기도,고양,0.36,1.33,1.57,0.37,1.28,0.65
경기도,과천,0.0,0.0,0.0,0.0,1.51,0.0
경기도,구리,2.02,1.49,0.5,0.51,1.58,0.0
경기도,남양주,0.35,0.58,1.34,0.9,0.46,0.31
경기도,오산,0.44,0.45,2.31,0.0,0.0,0.0
경기도,시흥,1.03,1.52,1.15,1.46,1.0,1.01
경기도,군포,0.0,1.09,0.72,1.41,0.7,0.7
경기도,의왕,0.62,0.63,1.29,0.64,0.64,0.0
경기도,하남,0.71,0.0,0.0,1.35,1.06,0.63
경기도,용인,0.74,0.8,1.9,0.47,0.6,0.0
경기도,파주,0.87,0.88,1.57,0.92,0.47,0.96
경기도,이천,0.92,0.0,2.34,0.94,0.48,0.0
경기도,안성,0.54,0.54,1.09,0.0,0.0,0.0
경기도,김포,0.44,0.7,0.74,0.79,0.56,0.58
경기도,화성,0.6,1.14,0.97,0.9,0.16,0.35
경기도,광주,0.27,1.36,0.85,1.48,0.0,0.0
경기도,양주,0.44,2.73,4.19,0.96,0.49,0.49
경기도,포천,4.74,2.68,1.98,0.65,0.0,0.64
경기도,여주,0.0,1.8,1.79,0.89,0.9,0.9
경기도,연천,4.58,0.0,0.0,2.19,0.0,0.0
경기도,가평,0.0,0.0,4.77,0.0,3.21,0.0
경기도,양평,0.0,2.58,1.73,0.88,0.0,0.0
강원도,춘천,1.06,2.49,2.49,0.71,1.79,0.36
강원도,원주,0.57,1.15,1.46,1.77,1.19,0.3
강원도,강릉,0.47,0.94,0.94,0.94,2.33,2.79
강원도,동해,2.21,2.2,0.0,2.15,2.14,1.06
강원도,태백,0.0,2.25,2.2,6.45,6.34,0.0
강원도,속초,1.22,1.22,0.0,2.44,0.0,0.0
강원도,삼척,1.51,1.48,0.0,0.0,1.42,1.4
강원도,홍천,0.0,7.19,0.0,1.42,1.42,0.0
강원도,횡성,2.15,0.0,2.15,4.34,2.18,0.0
강원도,영월,0.0,0.0,0.0,0.0,0.0,2.49
강원도,평창,2.39,2.36,4.67,2.31,0.0,2.3
강원도,정선,2.7,2.67,2.64,0.0,2.57,0.0
강원도,철원,2.22,2.17,4.27,0.0,0.0,2.08
강원도,화천,4.02,4.0,0.0,0.0,0.0,0.0
강원도,양구,0.0,4.33,4.23,0.0,4.16,0.0
강원도,인제,0.0,0.0,0.0,0.0,3.03,0.0
강원도,고성,3.7,0.0,0.0,0.0,0.0,3.32
강원도,양양,0.0,7.26,3.67,0.0,0.0,3.64
충청북도,충주,0.95,1.42,1.91,0.0,0.0,0.0
충청북도,제천,0.0,0.74,0.74,0.73,1.47,0.73
충청북도,청주,0.59,0.38,1.23,0.35,0.0,0.0
충청북도,보은,3.06,3.0,5.91,0.0,0.0,0.0
충청북도,옥천,0.0,1.95,0.0,0.0,0.0,0.0
충청북도,영동,0.0,0.0,4.0,3.97,0.0,0.0
충청북도,진천,0.0,0.0,1.32,1.39,0.0,0.0
충청북도,괴산,0.0,0.0,0.0,0.0,0.0,0.0
충청북도,음성,1.06,0.0,3.11,0.0,0.0,0.0
충청북도,단양,0.0,3.33,3.31,0.0,0.0,0.0
충청북도,증평,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,천안,0.32,0.84,0.85,0.8,0.77,0.0
충청남도,공주,0.95,0.0,1.85,0.0,0.9,0.0
충청남도,보령,0.99,0.98,1.95,0.97,0.96,0.0
충청남도,아산,1.9,0.64,1.6,0.0,0.33,0.68
충청남도,서산,0.57,0.0,1.16,0.58,0.59,0.0
충청남도,논산,1.7,0.0,0.82,0.0,0.81,0.0
충청남도,계룡,0.0,4.61,0.0,0.0,0.0,2.43
충청남도,당진,1.2,0.6,0.6,0.0,1.21,0.61
충청남도,금산,0.0,5.69,3.73,0.0,1.83,0.0
충청남도,연기,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,부여,0.0,0.0,1.46,1.44,1.42,1.4
충청남도,서천,1.91,1.87,1.83,0.0,1.77,0.0
충청남도,청양,0.0,0.0,0.0,0.0,0.0,0.0
충청남도,홍성,2.99,0.0,0.99,2.98,4.11,1.07
충청남도,예산,0.0,1.26,1.25,2.47,0.0,0.0
충청남도,태안,0.0,1.59,1.57,0.0,1.57,0.0
전라북도,전주,0.31,0.91,0.48,0.93,0.27,0.62
전라북도,군산,0.0,1.11,0.37,0.36,0.0,0.36
전라북도,익산,1.05,2.41,1.35,1.0,0.33,0.0
전라북도,정읍,0.91,0.0,0.0,0.87,0.87,0.0
전라북도,남원,0.0,1.22,1.21,2.39,2.37,0.0
전라북도,김제,1.2,2.36,1.16,0.0,0.0,1.12
전라북도,완주,0.0,1.07,0.0,0.0,1.05,0.0
전라북도,진안,0.0,0.0,0.0,3.82,0.0,0.0
전라북도,무주,0.0,0.0,0.0,8.04,0.0,0.0
전라북도,장수,0.0,0.0,4.33,0.0,4.26,0.0
전라북도,임실,0.0,0.0,3.32,3.31,0.0,0.0
전라북도,순창,0.0,6.95,0.0,3.35,0.0,0.0
전라북도,고창,1.82,3.55,3.4,0.0,0.0,0.0
전라북도,부안,1.9,0.0,0.0,1.77,1.76,0.0
전라남도,목포,0.88,0.0,1.71,0.85,2.52,0.42
전라남도,여수,0.71,0.71,0.35,0.0,0.0,0.0
전라남도,순천,0.0,0.0,0.72,0.72,0.72,0.36
전라남도,나주,0.87,0.88,0.0,0.0,0.0,0.0
전라남도,광양,0.0,0.0,0.0,0.64,0.0,0.0
전라남도,담양,2.15,0.0,2.12,2.12,0.0,0.0
전라남도,곡성,0.0,0.0,3.35,0.0,0.0,0.0
전라남도,구례,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,고흥,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,보성,2.44,2.37,0.0,0.0,0.0,0.0
전라남도,화순,0.0,0.0,1.56,1.54,0.0,0.0
전라남도,장흥,0.0,0.0,2.52,0.0,0.0,0.0
전라남도,강진,0.0,0.0,0.0,2.68,0.0,0.0
전라남도,해남,0.0,2.81,1.37,1.34,0.0,0.0
전라남도,영암,1.85,3.66,1.81,3.55,0.0,0.0
전라남도,무안,1.2,1.23,0.0,1.21,1.22,0.0
전라남도,함평,0.0,6.03,0.0,0.0,2.89,0.0
전라남도,영광,1.87,0.0,3.67,0.0,1.79,0.0
전라남도,장성,0.0,0.0,2.18,0.0,0.0,0.0
전라남도,완도,0.0,1.96,1.93,0.0,0.0,1.88
전라남도,진도,3.23,0.0,6.35,0.0,0.0,0.0
전라남도,신안,0.0,2.45,0.0,0.0,4.65,2.3
경상북도,포항,1.17,0.42,1.52,1.15,1.0,0.59
경상북도,경주,1.18,0.0,1.94,1.16,2.31,0.38
경상북도,김천,0.71,0.71,0.7,0.0,0.71,0.0
경상북도,안동,0.63,0.0,1.22,0.6,0.0,0.59
경상북도,구미,0.24,0.48,0.71,0.71,0.24,0.24
경상북도,영주,0.96,2.83,0.0,0.0,0.91,0.91
경상북도,영천,0.0,0.0,0.99,0.0,0.99,0.99
경상북도,상주,1.01,0.0,0.99,0.0,1.96,0.0
경상북도,문경,1.39,0.0,1.38,1.35,1.33,1.32
경상북도,경산,0.76,0.38,1.54,0.39,0.0,0.0
경상북도,군위,0.0,0.0,4.16,0.0,0.0,0.0
경상북도,의성,0.0,0.0,0.0,1.86,0.0,0.0
경상북도,청송,3.96,3.91,0.0,0.0,0.0,3.79
경상북도,영양,0.0,0.0,5.74,0.0,0.0,0.0
경상북도,영덕,0.0,5.3,5.22,2.58,0.0,0.0
경상북도,청도,0.0,2.33,0.0,0.0,0.0,0.0
경상북도,고령,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,성주,0.0,0.0,2.23,2.21,0.0,0.0
경상북도,칠곡,0.0,0.85,1.67,0.0,0.81,0.0
경상북도,예천,0.0,3.69,0.0,0.0,0.0,0.0
경상북도,봉화,0.0,0.0,0.0,0.0,0.0,2.95
경상북도,울진,2.04,2.01,1.98,0.0,3.86,1.92
경상북도,울릉,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,창원,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,마산,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,진주,1.15,0.87,1.44,2.31,2.03,0.88
경상남도,진해,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,통영,0.0,0.0,1.48,1.46,0.0,0.0
경상남도,사천,0.9,2.66,1.75,0.87,0.0,0.86
경상남도,김해,0.18,0.56,0.38,0.94,1.13,0.57
경상남도,밀양,0.0,0.0,2.8,1.85,0.92,0.0
경상남도,거제,0.0,0.8,0.79,1.56,0.0,0.4
경상남도,양산,0.0,0.57,0.0,1.53,0.97,1.01
경상남도,창원,0.37,1.18,1.6,0.68,1.69,1.52
경상남도,의령,3.71,3.65,0.0,3.57,3.53,3.46
경상남도,함안,0.0,1.51,1.48,4.37,0.0,1.45
경상남도,창녕,0.0,0.0,1.57,1.56,1.56,0.0
경상남도,고성,1.93,0.0,0.0,1.84,5.46,1.8
경상남도,남해,0.0,0.0,4.51,2.23,2.2,2.16
경상남도,하동,0.0,2.13,0.0,2.03,0.0,0.0
경상남도,산청,2.85,2.8,2.77,5.52,5.54,0.0
경상남도,함양,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,거창,1.62,1.6,3.19,4.76,0.0,0.0
경상남도,합천,0.0,0.0,4.3,0.0,0.0,0.0
제주특별자치도,제주특별자치도,1.93,2.54,3.47,2.0,0.95,0.16
제주특별자치도,서귀포,1.1,2.2,5.01,1.72,1.79,0.0
