District,City,year,pm25,pm10,so2,o3,no2,co,Percentage
경상북도,영주,2017,27.091,42.818,0.005,0.03,0.014,0.664,0.0
경상북도,영주,2018,27.5,49.0,0.006,0.029,0.013,0.558,0.0
경상북도,영주,2019,25.25,57.917,0.004,0.03,0.016,0.483,2.83
경상북도,영주,2020,21.2,34.6,0.003,0.029,0.009,0.47,0.96
경상북도,영천,2019,21.667,39.167,0.004,0.033,0.015,0.467,0.0
경상북도,영천,2020,17.75,33.583,0.004,0.033,0.012,0.458,0.0
경상북도,예천,2020,15.1,29.2,0.003,0.039,0.008,0.28,0.0
경상북도,울진,2019,14.818,28.273,0.003,0.039,0.008,0.373,2.01
경상북도,울진,2020,11.417,24.917,0.003,0.037,0.007,0.392,2.04
경상북도,의성,2020,14.25,24.5,0.004,0.03,0.01,0.467,0.0
경상북도,청도,2020,17.273,28.545,0.003,0.033,0.009,0.336,0.0
경상북도,청송,2020,13.2,25.7,0.003,0.035,0.006,0.31,3.96
경상북도,칠곡,2018,21.5,37.0,0.004,0.028,0.018,0.392,1.67
경상북도,칠곡,2019,21.917,36.833,0.003,0.03,0.017,0.375,0.85
경상북도,칠곡,2020,20.333,33.5,0.003,0.03,0.013,0.342,0.0
경상북도,포항,2016,20.429,34.857,0.005,0.029,0.014,0.514,1.0
경상북도,포항,2017,21.417,38.0,0.005,0.032,0.014,0.525,1.15
경상북도,포항,2018,23.917,41.583,0.004,0.034,0.014,0.458,1.52
경상북도,포항,2019,19.667,39.167,0.004,0.035,0.015,0.442,0.42
경상북도,포항,2020,16.5,35.5,0.004,0.034,0.014,0.458,1.17
광주광역시,광주광역시,2015,26.0,41.583,0.003,0.028,0.019,0.475,0.0
광주광역시,광주광역시,2016,23.417,40.083,0.003,0.03,0.018,0.475,0.34
광주광역시,광주광역시,2017,24.167,40.417,0.002,0.03,0.019,0.45,0.41
광주광역시,광주광역시,2018,24.0,40.917,0.003,0.028,0.017,0.508,0.48
광주광역시,광주광역시,2019,23.5,42.0,0.003,0.03,0.018,0.458,0.55
광주광역시,광주광역시,2020,18.0,29.75,0.003,0.029,0.014,0.408,0.28
대구광역시,대구광역시,2015,25.417,45.583,0.003,0.026,0.021,0.417,0.04
대구광역시,대구광역시,2016,24.5,43.083,0.004,0.026,0.02,0.408,0.4
대구광역시,대구광역시,2017,22.75,41.917,0.003,0.029,0.02,0.442,0.4
대구광역시,대구광역시,2018,22.25,39.917,0.003,0.026,0.02,0.417,0.53
대구광역시,대구광역시,2019,22.5,39.0,0.003,0.029,0.019,0.458,0.24
대구광역시,대구광역시,2020,20.0,34.0,0.002,0.028,0.017,0.442,0.54
대전광역시,대전광역시,2015,28.333,45.25,0.004,0.025,0.019,0.475,0.07
대전광역시,대전광역시,2016,22.5,43.833,0.003,0.028,0.019,0.483,0.66
대전광역시,대전광역시,2017,21.083,45.333,0.003,0.029,0.018,0.442,0.2
대전광역시,대전광역시,2018,21.667,43.667,0.002,0.027,0.019,0.433,0.47
대전광역시,대전광역시,2019,22.25,41.167,0.003,0.025,0.019,0.417,0.67
대전광역시,대전광역시,2020,17.417,32.583,0.002,0.027,0.017,0.4,0.61
부산광역시,부산광역시,2015,25.583,45.083,0.007,0.029,0.02,0.375,0.51
부산광역시,부산광역시,2016,26.833,43.833,0.006,0.029,0.021,0.4,1.03
부산광역시,부산광역시,2017,25.583,43.75,0.005,0.03,0.02,0.358,1.18
부산광역시,부산광역시,2018,23.167,41.583,0.005,0.029,0.019,0.35,1.27
부산광역시,부산광역시,2019,21.333,36.917,0.005,0.031,0.019,0.383,0.88
부산광역시,부산광역시,2020,16.917,30.083,0.004,0.031,0.016,0.383,0.56
서울특별시,서울특별시,2015,23.167,45.5,0.006,0.022,0.032,0.525,0.4
서울특별시,서울특별시,2016,26.083,47.833,0.005,0.024,0.031,0.525,1.11
서울특별시,서울특별시,2017,24.5,43.833,0.005,0.028,0.03,0.525,1.3
서울특별시,서울특별시,2018,23.0,39.75,0.004,0.023,0.028,0.508,1.62
서울특별시,서울특별시,2019,24.833,41.583,0.004,0.025,0.028,0.542,1.37
서울특별시,서울특별시,2020,20.75,35.25,0.003,0.025,0.024,0.483,0.68
세종특별자치시,세종특별자치시,2016,23.375,41.75,0.004,0.028,0.02,0.538,0.44
세종특별자치시,세종특별자치시,2017,22.75,46.833,0.003,0.03,0.02,0.533,0.0
세종특별자치시,세종특별자치시,2018,21.5,42.0,0.003,0.027,0.019,0.55,0.34
세종특별자치시,세종특별자치시,2019,25.833,43.75,0.003,0.028,0.019,0.525,0.61
세종특별자치시,세종특별자치시,2020,19.417,35.667,0.003,0.029,0.017,0.483,0.29
울산광역시,울산광역시,2015,24.667,45.167,0.008,0.028,0.023,0.525,1.2
울산광역시,울산광역시,2016,23.167,43.167,0.007,0.027,0.022,0.492,1.02
울산광역시,울산광역시,2017,24.75,42.667,0.006,0.03,0.022,0.567,0.51
울산광역시,울산광역시,2018,23.167,40.083,0.006,0.028,0.02,0.525,1.72
울산광역시,울산광역시,2019,20.333,36.75,0.005,0.031,0.02,0.492,0.35
울산광역시,울산광역시,2020,17.0,30.25,0.004,0.032,0.018,0.475,0.53
인천광역시,인천광역시,2015,29.167,51.667,0.006,0.025,0.026,0.608,0.72
인천광역시,인천광역시,2016,26.417,49.583,0.006,0.026,0.025,0.575,1.06
인천광역시,인천광역시,2017,25.0,45.417,0.005,0.027,0.024,0.567,0.92
인천광역시,인천광역시,2018,22.25,39.5,0.005,0.025,0.025,0.525,1.56
인천광역시,인천광역시,2019,23.25,42.667,0.005,0.029,0.024,0.542,1.08
인천광역시,인천광역시,2020,18.083,33.25,0.004,0.029,0.02,0.492,0.81
전라남도,강진,2019,16.286,25.714,0.003,0.035,0.006,0.3,0.0
전라남도,강진,2020,16.333,25.833,0.003,0.039,0.006,0.308,0.0
전라남도,고흥,2019,15.3,27.4,0.002,0.027,0.007,0.49,0.0
전라남도,고흥,2020,13.417,24.917,0.002,0.039,0.006,0.425,0.0
전라남도,곡성,2019,16.5,30.25,0.003,0.023,0.007,0.525,0.0
전라남도,곡성,2020,14.917,29.917,0.002,0.03,0.007,0.542,0.0
전라남도,광양,2015,24.833,39.667,0.007,0.028,0.014,0.4,0.0
전라남도,광양,2016,23.75,38.417,0.007,0.029,0.014,0.4,0.0
전라남도,광양,2017,20.833,36.917,0.006,0.028,0.014,0.433,0.64
전라남도,광양,2018,20.75,35.75,0.006,0.027,0.014,0.442,0.0
전라남도,광양,2019,18.0,31.583,0.005,0.033,0.013,0.483,0.0
전라남도,광양,2020,14.0,26.667,0.004,0.03,0.012,0.425,0.0
전라남도,구례,2019,16.0,28.5,0.003,0.021,0.008,0.417,0.0
전라남도,구례,2020,18.167,30.167,0.003,0.029,0.009,0.483,0.0
전라남도,나주,2018,23.833,37.083,0.003,0.031,0.012,0.367,0.0
전라남도,나주,2019,20.25,34.75,0.003,0.031,0.011,0.392,0.88
전라남도,나주,2020,15.5,25.333,0.002,0.04,0.01,0.3,0.87
전라남도,담양,2018,24.0,38.5,0.003,0.023,0.009,0.342,2.12
전라남도,담양,2019,23.833,39.0,0.003,0.023,0.008,0.375,0.0
전라남도,담양,2020,14.5,36.333,0.003,0.02,0.008,0.275,2.15
전라남도,목포,2015,24.0,38.917,0.004,0.036,0.017,0.633,0.42
전라남도,목포,2016,20.417,40.333,0.004,0.036,0.014,0.542,2.52
전라남도,목포,2017,19.333,40.25,0.003,0.03,0.013,0.45,0.85
전라남도,목포,2018,17.833,38.333,0.003,0.029,0.011,0.558,1.71
전라남도,목포,2019,19.917,40.167,0.004,0.033,0.01,0.533,0.0
전라남도,목포,2020,14.5,31.083,0.002,0.033,0.01,0.417,0.88
전라남도,무안,2019,21.0,38.7,0.004,0.034,0.007,0.39,1.23
전라남도,무안,2020,19.167,36.083,0.003,0.034,0.006,0.392,1.2
전라남도,보성,2019,14.75,30.0,0.003,0.025,0.008,0.5,2.37
전라남도,보성,2020,14.917,29.583,0.002,0.028,0.007,0.542,2.44
전라남도,순천,2015,22.917,35.25,0.004,0.028,0.014,0.55,0.36
전라남도,순천,2016,25.0,35.333,0.004,0.03,0.014,0.467,0.72
전라남도,순천,2017,19.083,33.5,0.005,0.034,0.012,0.517,0.72
전라남도,순천,2018,21.25,34.75,0.004,0.031,0.012,0.492,0.72
전라남도,순천,2019,17.833,31.667,0.004,0.038,0.012,0.483,0.0
전라남도,순천,2020,14.083,25.583,0.004,0.037,0.011,0.442,0.0
전라남도,신안,2019,14.3,28.4,0.004,0.046,0.005,0.31,2.45
전라남도,신안,2020,14.0,23.083,0.004,0.043,0.005,0.267,0.0
전라남도,여수,2015,21.417,34.75,0.007,0.029,0.018,0.592,0.0
전라남도,여수,2016,21.667,34.5,0.007,0.03,0.019,0.567,0.0
전라남도,여수,2017,19.417,32.667,0.006,0.027,0.018,0.55,0.0
전라남도,여수,2018,17.917,32.5,0.006,0.029,0.016,0.542,0.35
전라남도,여수,2019,17.667,32.0,0.005,0.03,0.013,0.542,0.71
전라남도,여수,2020,13.417,25.75,0.004,0.029,0.013,0.508,0.71
전라남도,영광,2018,32.0,50.0,0.003,0.024,0.016,0.5,3.67
전라남도,영광,2019,25.917,39.5,0.003,0.041,0.009,0.458,0.0
전라남도,영광,2020,20.0,31.917,0.003,0.037,0.01,0.358,1.87
전라남도,영암,2015,31.917,53.833,0.005,0.038,0.014,0.317,0.0
전라남도,영암,2016,28.417,41.25,0.004,0.034,0.013,0.358,0.0
전라남도,영암,2017,23.917,40.5,0.004,0.033,0.01,0.317,3.55
전라남도,영암,2018,23.667,38.167,0.004,0.031,0.011,0.375,1.81
전라남도,영암,2019,23.833,40.333,0.004,0.035,0.012,0.45,3.66
전라남도,영암,2020,22.417,33.583,0.004,0.03,0.01,0.325,1.85
전라남도,완도,2019,15.818,30.727,0.003,0.035,0.006,0.527,1.96
전라남도,완도,2020,12.083,23.917,0.002,0.028,0.006,0.433,0.0
전라남도,장성,2018,21.417,34.833,0.003,0.029,0.013,0.375,2.18
전라남도,장성,2019,20.917,37.0,0.004,0.03,0.013,0.417,0.0
전라남도,장성,2020,17.417,30.5,0.003,0.031,0.011,0.3,0.0
전라남도,장흥,2019,21.75,31.667,0.003,0.039,0.008,0.417,0.0
전라남도,장흥,2020,17.75,27.583,0.003,0.037,0.008,0.392,0.0
전라남도,진도,2019,16.455,30.727,0.003,0.033,0.005,0.527,0.0
전라남도,진도,2020,13.75,27.25,0.002,0.031,0.005,0.417,3.23
전라남도,함평,2019,21.273,34.818,0.002,0.033,0.009,0.527,6.03
전라남도,함평,2020,17.833,30.583,0.002,0.025,0.007,0.533,0.0
전라남도,해남,2018,18.25,31.0,0.007,0.033,0.012,0.438,1.37
전라남도,해남,2019,19.583,34.75,0.005,0.038,0.01,0.383,2.81
전라남도,해남,2020,16.167,28.667,0.003,0.037,0.009,0.342,0.0
전라남도,화순,2019,16.5,31.3,0.003,0.028,0.012,0.58,0.0
전라남도,화순,2020,15.917,27.583,0.002,0.026,0.01,0.517,0.0
전라북도,고창,2016,32.889,45.889,0.003,0.041,0.01,0.344,0.0
전라북도,고창,2017,27.417,42.917,0.004,0.037,0.011,0.7,0.0
전라북도,고창,2018,19.167,42.5,0.003,0.036,0.011,0.492,3.4
전라북도,고창,2019,21.583,42.083,0.002,0.039,0.009,0.35,3.55
전라북도,고창,2020,17.917,27.25,0.003,0.038,0.007,0.275,1.82
전라북도,군산,2015,33.0,40.333,0.004,0.032,0.014,0.45,0.36
전라북도,군산,2016,26.917,47.333,0.005,0.03,0.016,0.508,0.0
전라북도,군산,2017,27.167,45.25,0.005,0.031,0.014,0.483,0.36
전라북도,군산,2018,25.75,42.833,0.004,0.029,0.013,0.533,0.37
전라북도,군산,2019,26.917,46.0,0.004,0.033,0.012,0.492,1.11
전라북도,군산,2020,20.833,35.0,0.004,0.035,0.01,0.383,0.0
전라북도,김제,2016,32.75,49.0,0.003,0.028,0.016,0.55,0.0
전라북도,김제,2017,28.75,45.917,0.003,0.036,0.015,0.567,0.0
전라북도,김제,2018,24.583,51.083,0.003,0.034,0.015,0.442,1.16
전라북도,김제,2019,27.5,45.417,0.002,0.034,0.016,0.383,2.36
전라북도,김제,2020,24.333,36.167,0.002,0.034,0.015,0.417,1.2
전라북도,남원,2016,25.778,46.889,0.003,0.034,0.013,0.522,2.37
전라북도,남원,2017,27.083,43.75,0.003,0.033,0.012,0.583,2.39
전라북도,남원,2018,24.4,49.6,0.003,0.033,0.013,0.59,1.21
전라북도,남원,2019,23.083,40.083,0.002,0.032,0.012,0.433,1.22
전라북도,남원,2020,17.833,27.167,0.002,0.031,0.011,0.375,0.0
전라북도,무주,2018,16.8,26.6,0.003,0.028,0.009,0.38,0.0
전라북도,무주,2019,18.833,30.583,0.003,0.033,0.008,0.408,0.0
전라북도,무주,2020,17.083,25.917,0.003,0.032,0.008,0.367,0.0
전라북도,부안,2015,31.8,45.6,0.003,0.028,0.013,0.4,0.0
전라북도,부안,2016,30.917,47.25,0.004,0.038,0.013,0.483,1.76
전라북도,부안,2017,27.25,46.167,0.003,0.038,0.013,0.575,1.77
전라북도,부안,2018,24.167,49.0,0.004,0.038,0.014,0.533,0.0
전라북도,부안,2019,27.833,46.333,0.003,0.039,0.012,0.542,0.0
전라북도,부안,2020,20.5,33.5,0.002,0.038,0.013,0.475,1.9
전라북도,순창,2018,30.0,44.0,0.004,0.019,0.014,0.55,0.0
전라북도,순창,2019,25.0,36.667,0.003,0.032,0.009,0.342,6.95
전라북도,순창,2020,19.5,30.667,0.003,0.033,0.008,0.317,0.0
전라북도,완주,2018,21.182,39.0,0.003,0.036,0.009,0.491,0.0
전라북도,완주,2019,24.083,40.417,0.002,0.036,0.01,0.392,1.07
전라북도,완주,2020,21.5,35.333,0.002,0.031,0.011,0.375,0.0
전라북도,익산,2015,39.857,53.143,0.004,0.029,0.017,0.4,0.0
전라북도,익산,2016,36.333,55.583,0.005,0.031,0.018,0.467,0.33
전라북도,익산,2017,34.917,55.167,0.004,0.029,0.017,0.475,1.0
전라북도,익산,2018,28.583,44.833,0.004,0.027,0.014,0.458,1.35
전라북도,익산,2019,30.5,48.25,0.003,0.029,0.015,0.375,2.41
전라북도,익산,2020,23.083,36.5,0.002,0.03,0.011,0.342,1.05
전라북도,임실,2018,24.0,35.0,0.003,0.02,0.009,0.4,3.32
전라북도,임실,2019,24.417,38.167,0.004,0.023,0.007,0.408,0.0
전라북도,임실,2020,17.0,25.667,0.004,0.024,0.008,0.383,0.0
전라북도,장수,2018,27.0,36.0,0.003,0.031,0.007,0.4,4.33
전라북도,장수,2019,24.636,40.0,0.004,0.039,0.006,0.436,0.0
전라북도,장수,2020,19.273,30.091,0.003,0.035,0.007,0.327,0.0
전라북도,전주,2016,32.375,48.375,0.004,0.032,0.017,0.4,0.27
전라북도,전주,2017,25.25,52.0,0.004,0.032,0.016,0.508,0.93
전라북도,전주,2018,28.417,47.083,0.005,0.03,0.016,0.433,0.48
전라북도,전주,2019,29.25,46.5,0.004,0.032,0.017,0.45,0.91
전라북도,전주,2020,21.667,34.333,0.003,0.032,0.015,0.383,0.31
전라북도,정읍,2016,34.0,45.0,0.003,0.018,0.02,0.6,0.87
전라북도,정읍,2017,28.0,41.833,0.003,0.033,0.014,0.6,0.87
전라북도,정읍,2018,24.75,42.75,0.003,0.032,0.014,0.458,0.0
전라북도,정읍,2019,22.833,42.25,0.002,0.033,0.012,0.383,0.0
전라북도,정읍,2020,20.833,32.167,0.002,0.03,0.012,0.383,0.91
전라북도,진안,2018,19.545,36.091,0.002,0.027,0.01,0.409,0.0
전라북도,진안,2019,23.75,37.583,0.002,0.032,0.01,0.342,0.0
전라북도,진안,2020,16.083,31.75,0.002,0.028,0.009,0.308,0.0
제주특별자치도,서귀포,2015,19.0,32.0,0.003,0.03,0.014,0.35,0.0
제주특별자치도,서귀포,2016,18.5,36.333,0.002,0.034,0.01,0.283,1.79
제주특별자치도,서귀포,2017,19.333,32.0,0.001,0.033,0.008,0.267,1.72
제주특별자치도,서귀포,2018,18.917,34.083,0.002,0.039,0.007,0.233,5.01
제주특별자치도,서귀포,2019,16.833,32.75,0.002,0.044,0.007,0.25,2.2
제주특별자치도,서귀포,2020,15.167,29.167,0.001,0.041,0.006,0.258,1.1
제주특별자치도,제주특별자치도,2015,23.167,45.75,0.003,0.036,0.011,0.383,0.16
제주특별자치도,제주특별자치도,2016,24.083,43.75,0.003,0.034,0.014,0.342,0.95
제주특별자치도,제주특별자치도,2017,23.083,40.083,0.003,0.038,0.012,0.3,2.0
제주특별자치도,제주특별자치도,2018,19.333,36.0,0.003,0.039,0.012,0.275,3.47
제주특별자치도,제주특별자치도,2019,21.25,38.417,0.003,0.044,0.013,0.333,2.54
제주특별자치도,제주특별자치도,2020,15.667,32.333,0.002,0.038,0.011,0.342,1.93
충청남도,계룡,2018,15.7,32.6,0.003,0.034,0.015,0.47,0.0
충청남도,계룡,2019,21.333,37.667,0.003,0.033,0.016,0.508,4.61
충청남도,계룡,2020,18.5,32.083,0.003,0.028,0.014,0.45,0.0
충청남도,공주,2017,22.5,31.5,0.003,0.02,0.012,0.367,0.0
충청남도,공주,2018,22.5,36.333,0.003,0.029,0.011,0.35,1.85
충청남도,공주,2019,24.667,41.083,0.003,0.034,0.01,0.408,0.0
충청남도,공주,2020,21.333,32.583,0.004,0.03,0.009,0.342,0.95
충청남도,금산,2017,29.0,46.0,0.004,0.016,0.02,0.5,0.0
충청남도,금산,2018,19.5,35.417,0.003,0.03,0.013,0.342,3.73
충청남도,금산,2019,23.833,38.917,0.003,0.031,0.012,0.425,5.69
충청남도,금산,2020,23.083,37.583,0.003,0.026,0.012,0.392,0.0
충청남도,논산,2017,20.333,38.5,0.002,0.023,0.016,0.467,0.0
충청남도,논산,2018,19.25,40.167,0.003,0.027,0.015,0.492,0.82
충청남도,논산,2019,21.75,43.833,0.003,0.031,0.016,0.525,0.0
충청남도,논산,2020,19.833,38.75,0.003,0.028,0.014,0.492,1.7
충청남도,당진,2016,26.125,51.125,0.003,0.037,0.013,0.4,1.21
충청남도,당진,2017,24.333,47.5,0.004,0.031,0.01,0.492,0.0
충청남도,당진,2018,25.25,47.0,0.006,0.028,0.016,0.6,0.6
충청남도,당진,2019,31.667,54.25,0.006,0.032,0.014,0.575,0.6
충청남도,당진,2020,24.167,44.583,0.005,0.034,0.014,0.483,1.2
충청남도,보령,2017,20.833,36.333,0.003,0.036,0.01,0.383,0.97
충청남도,보령,2018,20.833,36.917,0.004,0.036,0.01,0.442,1.95
충청남도,보령,2019,23.583,38.417,0.004,0.037,0.01,0.483,0.98
충청남도,보령,2020,20.667,35.667,0.004,0.032,0.01,0.425,0.99
충청남도,부여,2017,20.167,39.5,0.002,0.025,0.014,0.483,1.44
충청남도,부여,2018,19.25,40.083,0.003,0.032,0.013,0.492,1.46
충청남도,부여,2019,24.083,39.25,0.003,0.033,0.014,0.542,0.0
충청남도,부여,2020,22.417,36.833,0.003,0.028,0.013,0.517,0.0
충청남도,서산,2016,21.25,37.875,0.004,0.035,0.019,0.538,0.59
충청남도,서산,2017,19.917,43.583,0.004,0.033,0.018,0.542,0.58
충청남도,서산,2018,18.25,36.583,0.004,0.033,0.016,0.533,1.16
충청남도,서산,2019,21.083,38.667,0.005,0.036,0.015,0.6,0.0
충청남도,서산,2020,18.833,34.167,0.004,0.036,0.013,0.45,0.57
충청남도,서천,2018,16.4,34.2,0.003,0.037,0.009,0.44,1.83
충청남도,서천,2019,22.833,39.25,0.003,0.033,0.009,0.517,1.87
충청남도,서천,2020,20.333,35.917,0.003,0.036,0.01,0.425,1.91
충청남도,아산,2016,36.333,49.667,0.003,0.015,0.03,0.733,0.33
충청남도,아산,2017,26.25,54.417,0.003,0.031,0.023,0.533,0.0
충청남도,아산,2018,25.0,45.417,0.004,0.026,0.017,0.425,1.6
충청남도,아산,2019,31.333,52.0,0.004,0.028,0.016,0.45,0.64
충청남도,아산,2020,25.25,42.083,0.004,0.031,0.015,0.392,1.9
충청남도,예산,2017,16.5,37.333,0.003,0.033,0.013,0.35,2.47
충청남도,예산,2018,20.167,40.25,0.004,0.031,0.014,0.408,1.25
충청남도,예산,2019,28.417,43.5,0.004,0.033,0.013,0.5,1.26
충청남도,예산,2020,23.0,36.083,0.004,0.03,0.01,0.367,0.0
충청남도,천안,2015,30.571,43.429,0.003,0.024,0.023,0.571,0.0
충청남도,천안,2016,27.333,48.833,0.003,0.028,0.023,0.492,0.77
충청남도,천안,2017,28.0,46.25,0.003,0.027,0.022,0.492,0.8
충청남도,천안,2018,24.917,43.0,0.004,0.026,0.023,0.558,0.85
충청남도,천안,2019,28.5,47.5,0.004,0.029,0.023,0.55,0.84
충청남도,천안,2020,23.0,38.833,0.003,0.031,0.017,0.475,0.32
충청남도,청양,2017,29.0,42.0,0.004,0.023,0.016,0.5,0.0
충청남도,청양,2018,22.083,34.333,0.003,0.03,0.009,0.358,0.0
충청남도,청양,2019,27.083,38.25,0.004,0.032,0.009,0.45,0.0
충청남도,청양,2020,20.667,33.833,0.003,0.032,0.008,0.383,0.0
충청남도,태안,2017,17.833,37.0,0.003,0.032,0.009,0.45,0.0
충청남도,태안,2018,17.583,37.0,0.004,0.029,0.011,0.5,1.57
충청남도,태안,2019,19.917,40.917,0.004,0.033,0.01,0.517,1.59
충청남도,태안,2020,15.5,33.667,0.003,0.032,0.011,0.475,0.0
충청남도,홍성,2017,24.0,40.5,0.003,0.032,0.014,0.4,2.98
충청남도,홍성,2018,23.917,39.667,0.003,0.027,0.013,0.408,0.99
충청남도,홍성,2019,26.833,40.167,0.004,0.031,0.013,0.492,0.0
충청남도,홍성,2020,22.333,35.167,0.003,0.033,0.011,0.408,2.99
충청북도,괴산,2019,26.364,37.545,0.003,0.029,0.011,0.455,0.0
충청북도,괴산,2020,21.25,32.167,0.003,0.029,0.01,0.425,0.0
충청북도,단양,2015,28.0,45.0,0.005,0.014,0.018,0.8,0.0
충청북도,단양,2016,21.583,39.75,0.004,0.023,0.017,0.617,0.0
충청북도,단양,2017,22.667,41.0,0.004,0.025,0.021,0.717,0.0
충청북도,단양,2018,25.091,41.364,0.004,0.024,0.016,0.582,3.31
충청북도,단양,2019,28.667,44.667,0.003,0.021,0.012,0.442,3.33
충청북도,단양,2020,19.25,29.75,0.003,0.026,0.01,0.517,0.0
충청북도,보은,2019,26.417,40.0,0.003,0.031,0.011,0.458,3.0
충청북도,보은,2020,21.5,32.583,0.003,0.03,0.01,0.467,3.06
충청북도,영동,2018,22.556,38.111,0.003,0.03,0.012,0.344,4.0
충청북도,영동,2019,27.333,42.333,0.003,0.031,0.012,0.4,0.0
충청북도,영동,2020,19.417,32.833,0.003,0.027,0.011,0.433,0.0
충청북도,옥천,2017,21.333,35.333,0.003,0.031,0.015,0.4,0.0
충청북도,옥천,2018,25.0,40.167,0.003,0.026,0.02,0.417,0.0
충청북도,옥천,2019,29.0,43.167,0.003,0.027,0.018,0.483,1.95
충청북도,옥천,2020,22.083,33.583,0.003,0.025,0.017,0.458,0.0
충청북도,음성,2019,28.091,41.545,0.003,0.033,0.012,0.436,0.0
충청북도,음성,2020,23.083,36.0,0.003,0.03,0.012,0.392,1.06
충청북도,제천,2015,28.0,53.0,0.005,0.009,0.024,1.0,0.73
충청북도,제천,2016,23.583,40.25,0.004,0.024,0.022,0.667,1.47
충청북도,제천,2017,27.583,40.917,0.004,0.026,0.02,0.683,0.73
충청북도,제천,2018,26.75,42.167,0.005,0.025,0.024,0.583,0.74
충청북도,제천,2019,26.083,43.25,0.004,0.025,0.02,0.458,0.74
충청북도,제천,2020,19.909,32.545,0.003,0.025,0.016,0.527,0.0
충청북도,증평,2018,27.444,43.778,0.002,0.027,0.016,0.344,0.0
충청북도,증평,2019,31.75,45.5,0.002,0.026,0.018,0.4,0.0
충청북도,증평,2020,24.25,39.833,0.003,0.027,0.012,0.417,0.0
충청북도,진천,2016,23.333,36.833,0.002,0.023,0.016,0.483,0.0
충청북도,진천,2017,26.833,43.917,0.003,0.032,0.016,0.458,1.39
충청북도,진천,2018,25.167,42.5,0.004,0.029,0.02,0.542,1.32
충청북도,진천,2019,29.0,44.167,0.003,0.03,0.02,0.5,0.0
충청북도,진천,2020,23.417,37.333,0.003,0.031,0.014,0.467,0.0
충청북도,청주,2015,28.0,46.667,0.003,0.028,0.017,0.433,0.0
충청북도,청주,2016,28.75,48.667,0.004,0.026,0.02,0.475,0.0
충청북도,청주,2017,28.583,45.833,0.003,0.028,0.019,0.508,0.35
충청북도,청주,2018,28.75,44.75,0.004,0.026,0.022,0.458,1.23
충청북도,청주,2019,28.5,45.583,0.003,0.027,0.022,0.433,0.38
충청북도,청주,2020,22.25,37.917,0.003,0.027,0.017,0.433,0.59
충청북도,충주,2015,33.0,50.0,0.005,0.009,0.031,0.8,0.0
충청북도,충주,2016,24.083,44.583,0.003,0.026,0.022,0.458,0.0
충청북도,충주,2017,26.25,44.5,0.003,0.028,0.022,0.45,0.0
충청북도,충주,2018,26.0,48.667,0.004,0.025,0.023,0.467,1.91
충청북도,충주,2019,27.083,44.167,0.003,0.026,0.022,0.517,1.42
충청북도,충주,2020,19.667,36.833,0.003,0.028,0.015,0.45,0.95
