City,pm25,pm10,o3,no2,so2,co,Cluster
강릉,11.194083694242424,41.24386724386363,0.03032142856818182,0.0136228355,0.003869408371212121,0.4500541125530303,0
거제,11.537720959545453,37.59638047166667,0.03206812511363637,0.014197811446969697,0.003977738151515152,0.41543115451515156,0
경산,8.886707988909091,39.77244031212121,0.025516873295454545,0.015256714818181819,0.004064910416666666,0.4309400827121212,0
경주,6.906450872242424,39.72250918272727,0.026765151515151516,0.017303030303030303,0.004878787878787879,0.3946969696969697,0
계룡,7.610970818954546,28.08801908090909,0.019542676772727273,0.012040183560606061,0.0025314093333333332,0.3586411735909091,2
고양,10.576285669647058,52.443627450980394,0.025024509803921572,0.02396813725490196,0.004946078431372549,0.4674019607843137,1
공주,8.884399550848485,28.614393940454544,0.01936759262121212,0.010651154378787879,0.0026029581363636364,0.32930615675757574,2
과천,10.351561463424243,47.09848484848485,0.02231060606060606,0.029757575757575757,0.003992424242424243,0.6106060606060606,1
광명,11.222850574030304,49.53787878787879,0.024325757575757573,0.0308030303030303,0.0044090909090909085,0.5757575757575758,1
광양,11.117929292954544,38.52272727272727,0.028962121212121213,0.01418939393939394,0.006272727272727273,0.421969696969697,0
광주,11.5367352835,50.62848725348485,0.02162121212121212,0.03021969696969697,0.004992424242424243,0.6363636363636364,1
광주광역시,12.68813131310606,40.36363636363637,0.02809848484848485,0.018537878787878787,0.0032424242424242424,0.49015151515151517,0
구리,14.67180225481818,49.27209595962121,0.024128787878787878,0.02671969696969697,0.004113636363636364,0.5159090909090909,1
구미,9.389520202007576,45.71969696969697,0.02925,0.01768939393939394,0.004068181818181818,0.5431818181818182,0
군산,13.312325820961831,45.82442748091603,0.029580152671755726,0.01451145038167939,0.004648854961832061,0.5068702290076337,0
군포,10.866476144484848,51.60606060606061,0.02459090909090909,0.030416666666666665,0.004439393939393939,0.46515151515151515,1
김제,13.044913419969697,44.2440106730303,0.026708874454545454,0.014292207818181819,0.0032370128484848484,0.42552308803030303,0
김천,12.172233700628787,47.52553948575758,0.029681818181818184,0.012955004590909092,0.0035151515151515154,0.46439393939393936,0
김포,14.391499224515151,54.18181818181818,0.02825757575757576,0.021371212121212124,0.0044090909090909085,0.5075757575757576,1
김해,10.872948232272726,40.13636363636363,0.028696969696969696,0.018636363636363635,0.0040075757575757575,0.38257575757575757,0
나주,9.867676767424243,30.887878788787877,0.026581818181818182,0.01243181806060606,0.004221212181818182,0.38878787875757576,2
남양주,10.441452094484848,45.43939393939394,0.024636363636363633,0.02393181818181818,0.00346969696969697,0.5083333333333333,0
남원,11.1953463205,45.07894420386364,0.027915404045454544,0.013377344878787879,0.0031899350606060606,0.4942279942272727,0
논산,8.164702581151515,30.304419192954544,0.018875168378787877,0.012128427106060605,0.0025650793484848487,0.3709728234242424,2
당진,13.841906721527778,45.675925925925924,0.03197222222222222,0.012972222222222222,0.0044444444444444444,0.4555555555555556,0
대구광역시,12.622474747348486,43.10606060606061,0.02612121212121212,0.02134090909090909,0.0037196969696969696,0.4492424242424242,0
대전광역시,12.1875,41.92424242424242,0.02534848484848485,0.019765151515151513,0.0032424242424242424,0.4590909090909091,0
동두천,11.033142811151516,57.317249879772724,0.027136363636363636,0.019015151515151513,0.005916666666666667,0.4795454545454545,1
동해,9.616612554015152,36.60606060606061,0.029053030303030303,0.01706818181818182,0.0033106060606060608,0.5356060606060606,0
목포,10.504292929318181,38.02272727272727,0.03153030303030303,0.015174242424242425,0.004333333333333333,0.5454545454545454,0
문경,6.501836546939394,32.21458907265151,0.022049988621212123,0.011672922272727274,0.003588556053030303,0.3689221764772727,2
밀양,10.051346800833333,35.058153652424245,0.025362276606060608,0.01517336837878788,0.003446338454545455,0.33494399124242424,2
보령,8.505611672060606,28.925000001060603,0.021110016863636366,0.01058297256060606,0.0027847763181818182,0.35279100524242424,2
부산광역시,12.852272727272727,43.43939393939394,0.02900757575757576,0.019825757575757576,0.005651515151515151,0.3840909090909091,0
부천,15.357022121885713,53.99285714285714,0.023085714285714286,0.030478571428571428,0.005485714285714286,0.5283333333333333,1
사천,9.73658459590909,33.99526515151515,0.028298878151515154,0.014291739515151515,0.0042668998181818185,0.40647581584848486,2
삼척,9.510551947954546,38.53787878787879,0.029946969696969694,0.015159090909090909,0.003575757575757576,0.49015151515151517,0
상주,7.667699724287879,33.0438475669697,0.023483413772727276,0.01160026390909091,0.00356473825,0.3826848027121212,2
서귀포,8.652777777803031,36.75,0.038878787878787874,0.008333333333333333,0.00225,0.3075757575757576,-1
서산,8.681257014583334,39.378787878787875,0.03146969696969697,0.016681818181818183,0.004553030303030303,0.5363636363636364,0
서울특별시,13.147727272727273,43.77272727272727,0.022924242424242423,0.030606060606060605,0.004803030303030303,0.5257575757575758,1
성남,12.543014376030303,46.68181818181818,0.022189393939393943,0.033151515151515154,0.004204545454545455,0.5787878787878787,1
세종특별자치시,13.861111111249999,26.78125,0.017791666666666667,0.012062499999999999,0.0020208333333333332,0.3385416666666667,2
속초,8.081619769696971,32.866883116969696,0.022967532484848483,0.011937229333333332,0.0030746752424242424,0.40822510812121215,2
수원,13.27028710330303,47.43939393939394,0.023090909090909092,0.03249242424242424,0.004553030303030303,0.6234848484848484,1
순천,10.928535353560605,34.265151515151516,0.030848484848484847,0.01306060606060606,0.004280303030303031,0.4916666666666667,0
시흥,11.783142811151516,52.85606060606061,0.025477272727272727,0.03181060606060606,0.006643939393939394,0.5818181818181818,-1
아산,11.123737373712121,46.74242424242424,0.025727272727272727,0.018848484848484847,0.003863636363636364,0.5393939393939394,0
안동,7.946969696863635,39.54585629015151,0.027644685492424242,0.01444874884848485,0.0037831152500000004,0.46494490358333335,0
안산,13.368771951787878,48.57575757575758,0.02528030303030303,0.028719696969696968,0.005340909090909091,0.5257575757575758,1
안성,11.980426331606061,52.84785353537879,0.02607575757575758,0.016257575757575755,0.0038712121212121212,0.4257575757575758,0
안양,11.131864493727273,49.371212121212125,0.02266666666666667,0.030999999999999996,0.004537878787878788,0.5340909090909091,1
양산,12.630523989848484,43.84848484848485,0.027462121212121212,0.02084848484848485,0.004666666666666666,0.43787878787878787,0
양주,11.124051902060605,56.431186868712125,0.028477272727272726,0.017727272727272727,0.005272727272727273,0.48333333333333334,1
여수,10.170959595984847,34.53787878787879,0.02918181818181818,0.01797727272727273,0.006780303030303031,0.5371212121212121,1
여주,20.012597203000002,51.903769841309526,0.026142857142857145,0.017976190476190475,0.004345238095238095,0.4892857142857143,0
영주,9.444329660272727,47.72882231409091,0.027924242424242424,0.014583333333333334,0.007488005053030303,0.671969696969697,1
영천,6.933654729060606,32.74242424272727,0.022438705333333333,0.011846418636363636,0.0036542699696969698,0.38966942163636364,2
오산,11.260415538424242,51.70454545454545,0.023810606060606063,0.028515151515151518,0.004287878787878788,0.48560606060606054,1
용인,11.370483735088234,50.1985294117647,0.022022058823529412,0.03016421568627451,0.004517156862745098,0.5806372549019608,1
울산광역시,12.285984848484848,43.10606060606061,0.027856060606060606,0.021803030303030303,0.006712121212121212,0.5068181818181818,1
원주,15.654671717272729,53.0,0.02481060606060606,0.020803030303030302,0.0043030303030303025,0.6507575757575758,1
의왕,12.542140250151515,50.21212121212121,0.021553030303030303,0.03371969696969697,0.004280303030303031,0.6537878787878788,1
의정부,12.951231159242425,48.97727272727273,0.02512878787878788,0.025583333333333336,0.00425,0.5757575757575758,1
이천,11.624051902060605,57.53724747477273,0.025462121212121214,0.020825757575757577,0.004545454545454545,0.4696969696969697,1
익산,15.837211399757576,51.46969696969697,0.02762878787878788,0.015545454545454546,0.004234848484848485,0.4484848484848485,0
인천광역시,13.246212121212121,47.053030303030305,0.02528787878787879,0.02612121212121212,0.006106060606060606,0.5636363636363637,1
전주,13.013133031174602,49.37698412698413,0.02786111111111111,0.01746825396825397,0.004388888888888889,0.45436507936507936,0
정읍,11.422619048,47.52230639734849,0.02627958153030303,0.013452922075757575,0.002803300871212121,0.3752164502121212,0
제천,12.309659090962121,47.756102693636365,0.023675925931818182,0.024010627106060604,0.004871159515151515,0.6433606902348484,1
진주,11.494160353484848,44.40151515151515,0.029143939393939392,0.01746969696969697,0.004484848484848485,0.49318181818181817,0
창원,10.977770969444444,43.759803921568626,0.030967320261437913,0.02068464052287582,0.00432843137254902,0.4792483660130719,0
천안,10.861111111118056,45.888888888888886,0.024756944444444443,0.022156250000000002,0.004034722222222222,0.5805555555555555,1
청주,18.425776583086023,49.064516129032256,0.02602688172043011,0.02118010752688172,0.0036344086021505378,0.4838709677419355,0
춘천,12.745580808181817,47.17424242424242,0.026818181818181817,0.0165,0.0034924242424242426,0.5545454545454546,0
충주,12.299347643159091,47.51010101007576,0.025833333333333333,0.02228030303030303,0.004204545454545455,0.5227272727272727,0
태백,8.910984849090909,32.31529581537879,0.023099567113636362,0.011741883015151515,0.0028531745227272725,0.3984307358257576,2
통영,9.68771043719697,34.883911228181816,0.026203185696969698,0.015294580500000002,0.003393308151515152,0.3478227791212121,2
파주,12.93427888160606,53.99242424242424,0.02559848484848485,0.021257575757575756,0.004348484848484848,0.593939393939394,1
평택,12.146779174787879,58.75,0.026083333333333333,0.021825757575757578,0.005325757575757576,0.43787878787878787,1
포천,11.729887405848485,61.995643939318185,0.02900675506060606,0.021203219696969696,0.0055681818181818185,0.5049368686969697,1
포항,8.711662075287878,43.36363636363637,0.030492424242424244,0.01506060606060606,0.0050075757575757576,0.5151515151515151,0
하남,11.86119619421212,45.70454545454545,0.02087121212121212,0.030143939393939393,0.004128787878787879,0.5280303030303031,1
화성,11.237688265696969,52.52272727272727,0.026174242424242426,0.02075757575757576,0.004492424242424242,0.43787878787878787,0
